Country,Year,Status,Life expectancy,under five deaths,Adult Mortality,Alcohol,BMI,Polio,Diptheria,HIV,Total expenditure,GDP,Population,Population Density
China,2015,Developing,76.1,18,85,5.81,24.2,0.11,0.1,0.03,5.78,869.2119,1406847870,146.55
China,2014,Developing,75.8,19,86,5.78,24.1,0.12,0.1,0.04,5.55,7683.524,1399453965,145.78
China,2013,Developing,75.6,21,88,5.79,23.4,0.12,0.1,0.04,5.39,777.7759,1391883330,144.99
China,2012,Developing,75.4,23,89,5.74,22.6,0.12,0.12,0.05,5.26,6337.883,1384206401,144.19
China,2011,Developing,75.2,25,91,5.63,21.9,0.12,0.12,0.05,5.3,5633.796,1376497639,143.39
China,2010,Developing,75,26,92,5.75,21.2,0.12,0.12,0.05,4.89,456.5125,1368810615,142.58
China,2009,Developing,74.9,28,93,4.88,17.3,0.12,0.12,0.06,5.8,3838.434,1361169419,141.79
China,2008,Developing,74.5,30,97,4.27,17.2,0.13,0.12,0.07,4.59,3471.248,1353569484,141
China,2007,Developing,74.4,33,96,3.88,16.2,0.13,0.13,0.07,4.32,2695.366,1345993888,140.21
China,2006,Developing,74.2,36,98,3.28,16.4,0.13,0.13,0.08,4.52,299.2297,1338408647,139.42
China,2005,Developing,73.9,39,99,2.92,16,0.14,0.14,0.09,4.66,1753.418,1330776380,138.62
China,2004,Developing,73.5,42,113,3.04,25.9,0.14,0.14,0.102,4.72,158.6685,1323084641,137.82
China,2003,Developing,73.1,46,132,2.96,26.4,0.15,0.16,0.1,4.82,1288.643,1315303521,137.01
China,2002,Developing,72.7,51,166,2.91,27.3,0.15,0.16,0.11,4.79,1148.586,1307352257,136.18
China,2001,Developing,72.2,55,114,2.84,27.6,0.16,0.16,0.12,4.56,153.1824,1299129752,135.33
China,2000,Developing,71.7,60,115,3.06,28.1,0.16,0.17,0.13,4.6,959.3722,1290550765,134.43
India,2015,Developing,68.3,48,181,3.19,19.7,0.16,0.13,0.2,4.93,2103.59,1310152403,398.55
India,2014,Developing,68,49,184,3.07,19.1,0.16,0.15,0.2,4.69,2039.13,1295600772,394.13
India,2013,Developing,67.6,51,187,3.11,18.4,0.18,0.17,0.2,4.53,1856.72,1280842125,389.64
India,2012,Developing,67.3,53,196,3.1,18.2,0.18,0.18,0.2,4.39,1827.64,1265780247,385.06
India,2011,Developing,66.8,57,193,3,16.4,0.19,0.18,0.2,4.33,1823.05,1250287943,380.34
India,2010,Developing,66.4,54,196,2.77,25.9,0.19,0.21,0.2,4.28,1675.62,1234281170,375.47
India,2009,Developing,66,58,208,2.5,26.4,0.19,0.26,0.2,4.38,1341.89,1217726215,370.44
India,2008,Developing,65.5,56,235,1.93,26.6,0.27,0.29,0.3,4.34,1198.9,1200669765,365.25
India,2007,Developing,65.2,59,262,1.59,26.9,0.28,0.36,0.3,4.23,1216.74,1183209472,359.94
India,2006,Developing,64.8,64,286,1.37,27,0.28,0.35,0.3,4.25,940.26,1165486291,354.55
India,2005,Developing,64.4,62,211,1.27,13.5,0.28,0.35,0.3,4.28,820.382,1147609927,349.11
India,2004,Developing,64,67,214,1.2,13,0.28,0.37,0.3,4.22,709.149,1129623456,343.64
India,2003,Developing,63.7,64,216,1.19,12.6,0.29,0.39,0.3,4.3,607.699,1111523144,338.13
India,2002,Developing,63.3,68,219,1.1,12.2,0.29,0.41,0.3,4.4,514.938,1093317189,332.59
India,2001,Developing,62.9,72,222,1,11.8,0.29,0.41,0.3,4.5,485.441,1075000085,327.02
India,2000,Developing,62.5,75,224,0.93,11.4,0.29,0.42,0.3,4.26,468.395,1056575549,321.42
Japan,2015,Developed,83.7,3,55,7.51,24.9,0.01,0.04,0.01,1.32,34474.14,127985133,338.61
Japan,2014,Developed,83.5,3,57,7.49,24.4,0.01,0.04,0.01,1.23,3896.212,128168639,339.1
Japan,2013,Developed,83.5,3,56,7.55,23.8,0.01,0.04,0.018,1.25,4454.447,128314195,339.48
Japan,2012,Developed,83.3,3,58,7.39,23.4,0.01,0.03,0.02,1.17,4863.477,128423571,339.77
Japan,2011,Developed,82.5,4,64,7.39,22.9,0.02,0.03,0.032,1.7,48168,128498965,339.97
Japan,2010,Developed,83,4,62,6.9,22.5,0.02,0.03,0.039,9.58,4457.676,128542353,340.09
Japan,2009,Developed,83,4,64,7.09,22.2,0.025,0.03,0.04,9.51,4855.176,128555189,340.12
Japan,2008,Developed,82.7,4,66,7.11,29,0.026,0.02,0.05,8.6,39339.3,128538646,340.08
Japan,2007,Developed,82.6,4,67,7.29,28.6,0.03,0.02,0.053,8.25,35275.23,128494057,339.96
Japan,2006,Developed,82.4,4,68,7.49,28.2,0.05,0.02,0.05,8.19,35433.99,128422734,339.77
