Country,Year,Status,Life expectancy,under-five deaths,infant deaths,Adult Mortality,Alcohol,BMI,,Polio,Diptheria,HIV/AIDS,Total expenditure,GDP,Population,Population Density
China,2015,Developing,76.1,18,15,85,2.73,24.2,,0.11,0.1,0.03,5.78,869.2119,1406847870,146.55
China,2014,,75.8,19,17,86,2.84,24.1,,0.12,0.1,0.04,5.55,7683.524,1399453965,145.78
China,2013,,75.6,21,18,88,2.91,23.4,,0.12,0.1,0.04,5.39,777.7759,1391883330,144.99
China,2012,,75.4,23,20,89,2.96,22.6,,0.12,0.12,0.05,5.26,6337.883,1384206401,144.19
China,2011,,75.2,25,21,91,3.04,21.9,,0.12,0.12,0.05,5.3,5633.796,1376497639,143.39
China,2010,,75,26,23,92,3.28,21.2,,0.12,0.12,0.05,4.89,456.5125,1368810615,142.58
China,2009,,74.9,28,24,93,3.28,17.3,,0.12,0.12,0.06,5.8,3838.434,1361169419,141.79
China,2008,,74.5,30,26,97,3.88,17.2,,0.13,0.12,0.07,4.59,3471.248,1353569484,141
China,2007,,74.4,33,28,96,4.27,16.2,,0.13,0.13,0.07,4.32,2695.366,1345993888,140.21
China,2006,,74.2,36,30,98,4.88,16.4,,0.13,0.13,0.08,4.52,299.2297,1338408647,139.42
China,2005,,73.9,39,33,99,5.75,16,,0.14,0.14,0.09,4.66,1753.418,1330776380,138.62
China,2004,,73.5,42,36,113,5.63,25.9,,0.14,0.14,0.102,4.72,158.6685,1323084641,137.82
China,2003,,73.1,46,39,132,5.74,26.4,,0.15,0.16,0.1,4.82,1288.643,1315303521,137.01
China,2002,,72.7,51,42,166,5.79,27.3,,0.15,0.16,0.11,4.79,1148.586,1307352257,136.18
China,2001,,72.2,55,45,114,5.78,27.6,,0.16,0.16,0.12,4.56,153.1824,1299129752,135.33
China,2000,,71.7,60,49,115,5.81,28.1,,0.16,0.17,0.13,4.6,959.3722,1290550765,134.43
India,2015,Developing,68.3,48,43,181,0.93,19.7,,0.16,0.13,0.2,4.93,2103.59,1310152403,398.55
India,2014,,68,49,41,184,1,19.1,,0.16,0.15,0.2,4.69,2039.13,1295600772,394.13
India,2013,,67.6,51,48,187,1.1,18.4,,0.18,0.17,0.2,4.53,1856.72,1280842125,389.64
India,2012,,67.3,53,46,196,1.19,18.2,,0.18,0.18,0.2,4.39,1827.64,1265780247,385.06
India,2011,,66.8,57,49,193,1.2,16.4,,0.19,0.18,0.2,4.33,1823.05,1250287943,380.34
