Year,Alcohol
P,4.3
P,7.4
P,5.77
P,5.9
P,5.51
P,5.28
P,5.37
P,6.46
P,6.96
P,7.49
P,5.78
P,5.89
O,6.08
O,5.88
O,5.24
O,6.65
O,4.05
O,6.29
O,4.29
O,5.08
O,4.94
O,6.45
O,4.28
O,6.91
N,5.25
N,6.22
N,5.33
N,6.69
N,6.62
N,5.92
N,5.5
N,5.48
N,5.7
N,5.33
N,6.17
N,7.14
M,6.1
M,6.34
M,5.8
M,4.78
M,6.51
M,4.98
M,5.56
M,6.09
M,7.11
M,6.02
M,5.33
M,5.69
L,5.35
L,6.99
L,5.33
L,5.59
L,4.78
L,5.15
L,7.47
L,5.5
L,4.86
L,5.32
L,6.71
L,6.12
K,6.89
K,6.03
K,6.29
K,4.86
K,5.68
K,4.4
K,7.09
K,4.99
K,7.05
K,5.53
K,6.67
K,6.14
J,4.63
J,4.26
J,2.36
J,5.55
J,3.55
J,5.05
J,5.18
J,4.38
J,3.81
J,4.12
J,1.73
J,4.51
I,4.56
I,3.45
I,4.98
I,4.52
I,4.68
I,3.1
I,5
I,3.84
I,3.93
I,4.17
I,4.12
I,3.85
H,2.93
H,3.72
H,4.52
H,3.74
H,3.22
H,2.37
H,3.07
H,2.94
H,4.63
H,3.74
H,4.13
H,3.53
G,3.83
G,3.24
G,2.27
G,3.33
G,4.13
G,3.9
G,3.18
G,4.16
G,4.46
G,4.99
G,3.4
G,3.72
F,2.43
F,2.14
F,2.41
F,4.02
F,3.39
F,2.35
F,2.89
F,3.74
F,1.34
F,3.39
F,3.03
F,2.92
E,4.64
E,2.66
E,2.83
E,3.1
E,2.16
E,1.67
E,2.49
E,2.25
E,2.6
E,2.54
E,3.44
E,3.83
D,2.27
D,2.06
D,2.64
D,2.53
D,2.8
D,2.23
D,3.88
D,3.24
D,2.74
D,3.67
D,2.8
D,4.25
C,2.92
C,4.1
C,3.12
C,2.28
C,2.21
C,2.97
C,1.81
C,3.72
C,3.8
C,3.13
C,2.73
C,2.39
B,3.41
B,2.44
B,4.37
B,1.92
B,1.96
B,3.28
B,3.87
B,2.35
B,2.16
B,1.87
B,2.01
B,3.05
A,3.79
A,3.21
A,3.49
A,3.58
A,3.02
A,3.48
A,2.66
A,2.73
A,2.97
A,3.57
A,2.75
A,3.82
