Year,Alcohol
P,7.45
P,7.72
P,8.9
P,6.93
P,7.61
P,7.52
P,9.1
P,7.75
P,9.78
P,6.3
P,5.66
P,7.76
O,6.59
O,7.91
O,7.9
O,7.34
O,7.34
O,7.01
O,7.68
O,5.32
O,7.88
O,6.01
O,8.53
O,7.67
N,6.82
N,8.31
N,6.49
N,6.68
N,7
N,7.99
N,8.85
N,8.15
N,9.64
N,7.68
N,6.9
N,8.82
M,8.16
M,6.67
M,6.24
M,7.8
M,7.21
M,8.59
M,7.2
M,7.19
M,6.9
M,7.92
M,6.37
M,6.83
L,7.35
L,8.65
L,7.1
L,6.49
L,5.48
L,8.82
L,7.55
L,8.2
L,6.73
L,9.06
L,8.11
L,8.54
K,7.53
K,5.52
K,6.35
K,7.61
K,5.96
K,9.62
K,6.39
K,7.45
K,5.65
K,7.01
K,8.39
K,9.19
J,5.99
J,7.41
J,5.85
J,8.17
J,6.21
J,5.93
J,4.92
J,7.58
J,6.04
J,6.54
J,5.56
J,5.65
I,6.98
I,9.42
I,6.34
I,7.46
I,6.69
I,7.78
I,6.9
I,8.51
I,6.99
I,6.59
I,9.14
I,7.01
H,7.97
H,6.69
H,7.73
H,7.07
H,5.59
H,8.9
H,6.71
H,7.08
H,7.83
H,7.58
H,6.95
H,6.75
G,7.8
G,7.98
G,7.93
G,8.9
G,7.03
G,7.01
G,8.24
G,7.94
G,6.78
G,8.55
G,6.13
G,8.34
F,9.49
F,9.15
F,8.78
F,7.49
F,8.37
F,8.78
F,8.83
F,6.55
F,7.5
F,6.1
F,8.18
F,7.06
E,6.24
E,8.5
E,8.94
E,8.02
E,9.8
E,8.28
E,9.1
E,8.32
E,5.47
E,7.4
E,7.66
E,7.93
D,8.73
D,7.21
D,8.63
D,7.76
D,7.23
D,7.63
D,8.03
D,7.69
D,7.47
D,7.66
D,5.98
D,7.46
C,6.91
C,7.59
C,8.89
C,7.24
C,5.9
C,6.84
C,7.1
C,7.83
C,8.71
C,8.64
C,8.3
C,6.17
B,8.33
B,7.39
B,8.47
B,8.62
B,9.31
B,6.45
B,8.26
B,7.99
B,6.61
B,7.44
B,8.12
B,7.54
A,9.29
A,7.41
A,8.37
A,7.09
A,8.78
A,8.62
A,8.48
A,8.72
A,7.67
A,7.77
A,9.31
A,8.93
