Year,Alcohol
P,10.05
P,9.91
P,8.06
P,8.75
P,9.96
P,7.54
P,8.38
P,9.4
P,7.69
P,9.55
P,9.14
P,10.1
O,10.07
O,10.28
O,10.09
O,8.78
O,10.36
O,8.77
O,9.11
O,8.51
O,9.62
O,9.18
O,9.31
O,9.67
N,8.49
N,8.14
N,7.05
N,8.35
N,8.59
N,9.57
N,9.09
N,9.85
N,8.17
N,9.93
N,8.55
N,11.44
M,9.11
M,9.9
M,7.98
M,9.37
M,11.27
M,8.66
M,10
M,10.83
M,10.1
M,10.23
M,10.96
M,10.83
L,9.74
L,8.25
L,9.94
L,9.1
L,7.68
L,10.01
L,9.51
L,8.86
L,9.08
L,9.96
L,10.34
L,10.75
K,9.47
K,10.89
K,7.31
K,10.39
K,8.71
K,10.57
K,8.34
K,8.8
K,8.48
K,10.47
K,6.68
K,9.57
J,8.41
J,9.08
J,8.69
J,7.76
J,10.19
J,10.44
J,8.31
J,10.08
J,8.52
J,10.91
J,8.38
J,7.88
I,8.57
I,9.13
I,8.51
I,9.84
I,10.56
I,10.31
I,10.06
I,8.7
I,8.81
I,10.93
I,9.17
I,8.57
H,9.13
H,9.31
H,7.49
H,9.71
H,9.9
H,8.7
H,8.21
H,8.02
H,9.95
H,11.1
H,10.71
H,9.12
G,8.29
G,9.74
G,7.62
G,8.62
G,8.55
G,8.03
G,9.7
G,8.91
G,8.99
G,8.67
G,8
G,9.2
F,8.06
F,8.13
F,7.78
F,9.04
F,9.21
F,7.93
F,8.3
F,8.87
F,9.55
F,9.57
F,8.67
F,10.32
E,9.21
E,10.2
E,7.45
E,10.79
E,8.99
E,10.3
E,8.9
E,9.34
E,9.18
E,10
E,8.93
E,9.58
D,9.46
D,11.25
D,8.55
D,10.23
D,6.95
D,7.76
D,9.75
D,8.8
D,10.68
D,9.89
D,10.22
D,9.65
C,10.38
C,10.88
C,10.08
C,8.5
C,9.87
C,8.94
C,8.78
C,9.49
C,9.11
C,11.7
C,11.82
C,11.28
B,12.55
B,11.9
B,10.8
B,11.32
B,11.25
B,12.01
B,11.42
B,12.8
B,12.15
B,12.45
B,13.22
B,10.02
A,10.9
A,8.97
A,7.96
A,11.86
A,9.48
A,9.74
A,10.7
A,10.17
A,9.48
A,11.21
A,10.24
A,9.49
