Year,Alcohol
P,0.52
P,0.66
P,0.7
P,0.4
P,0.55
P,0.59
P,0.59
P,0.49
P,0.54
P,0.57
P,0.59
P,0.73
O,0.28
O,0.62
O,0.47
O,0.42
O,0.31
O,0.42
O,0.4
O,0.31
O,0.49
O,0.52
O,0.46
O,0.39
N,0.41
N,0.49
N,0.38
N,0.61
N,0.45
N,0.51
N,0.56
N,0.52
N,0.57
N,0.53
N,0.63
N,0.42
M,0.54
M,0.37
M,0.35
M,0.36
M,0.49
M,0.35
M,0.52
M,0.42
M,0.51
M,0.57
M,0.44
M,0.44
L,0.41
L,0.35
L,0.62
L,0.52
L,0.51
L,0.43
L,0.61
L,0.53
L,0.53
L,0.4
L,0.64
L,0.65
K,0.4
K,0.39
K,0.59
K,0.5
K,0.44
K,0.7
K,0.55
K,0.45
K,0.6
K,0.63
K,0.55
K,0.62
J,0.68
J,0.64
J,0.73
J,0.53
J,0.75
J,0.57
J,0.54
J,0.64
J,0.51
J,0.5
J,0.44
J,0.66
I,0.64
I,0.57
I,0.48
I,0.69
I,0.41
I,0.55
I,0.53
I,0.56
I,0.46
I,0.58
I,0.62
I,0.68
H,0.67
H,0.53
H,0.43
H,0.48
H,0.7
H,0.6
H,0.75
H,0.57
H,0.4
H,0.56
H,0.55
H,0.5
G,0.49
G,0.63
G,0.78
G,0.56
G,0.54
G,0.64
G,0.46
G,0.52
G,0.69
G,0.51
G,0.73
G,0.45
F,0.5
F,0.68
F,0.41
F,0.56
F,0.65
F,0.59
F,0.67
F,0.47
F,0.71
F,0.68
F,0.76
F,0.67
E,0.72
E,0.51
E,0.77
E,0.68
E,0.55
E,0.62
E,0.58
E,0.57
E,0.66
E,0.71
E,0.7
E,0.72
D,0.68
D,0.69
D,0.58
D,0.83
D,0.53
D,0.57
D,0.7
D,0.62
D,0.65
D,0.51
D,0.5
D,0.43
C,0.55
C,0.62
C,0.45
C,0.62
C,0.52
C,0.42
C,0.48
C,0.37
C,0.43
C,0.33
C,0.49
C,0.42
B,0.39
B,0.79
B,0.59
B,0.55
B,0.54
B,0.57
B,0.51
B,0.65
B,0.69
B,0.54
B,0.67
B,0.61
A,0.37
A,0.48
A,0.16
A,0.39
A,0.57
A,0.36
A,0.33
A,0.43
A,0.41
A,0.37
A,0.31
A,0.51
