Year,Abbreviation,Life
2000,AFG,55.841
2001,AFG,56.308
2002,AFG,56.784
2003,AFG,57.271
2004,AFG,57.772
2005,AFG,58.29
2006,AFG,58.826
2007,AFG,59.375
2008,AFG,59.93
2009,AFG,60.484
2010,AFG,61.028
2011,AFG,61.553
2012,AFG,62.054
2013,AFG,62.525
2014,AFG,62.966
2015,AFG,63.377
2016,AFG,63.763
2017,AFG,64.13
2018,AFG,64.486
2019,AFG,64.833
2020,AFG,65.17
2000,ARM,71.409
2001,ARM,71.8
2002,ARM,72.112
2003,ARM,72.348
2004,ARM,72.513
2005,ARM,72.626
2006,ARM,72.716
2007,ARM,72.815
2008,ARM,72.946
2009,ARM,73.118
2010,ARM,73.331
2011,ARM,73.572
2012,ARM,73.82
2013,ARM,74.056
2014,ARM,74.273
2015,ARM,74.467
2016,ARM,74.64
2017,ARM,74.797
2018,ARM,74.945
2019,ARM,75.087
2020,ARM,75.22
2000,AZE,66.763
2001,AZE,67.054
2002,AZE,67.391
2003,AZE,67.791
2004,AZE,68.249
2005,AZE,68.747
2006,AZE,69.259
2007,AZE,69.752
2008,AZE,70.201
2009,AZE,70.597
2010,AZE,70.938
2011,AZE,71.234
2012,AZE,71.506
2013,AZE,71.768
2014,AZE,72.022
2015,AZE,72.266
2016,AZE,72.493
2017,AZE,72.693
2018,AZE,72.864
2019,AZE,73.005
2020,AZE,73.12
2000,BHR,74.44
2001,BHR,74.635
2002,BHR,74.822
2003,BHR,74.999
2004,BHR,75.167
2005,BHR,75.326
2006,BHR,75.478
2007,BHR,75.625
2008,BHR,75.77
2009,BHR,75.913
2010,BHR,76.057
2011,BHR,76.2
2012,BHR,76.342
2013,BHR,76.484
2014,BHR,76.624
2015,BHR,76.762
2016,BHR,76.899
2017,BHR,77.032
2018,BHR,77.163
2019,BHR,77.292
2020,BHR,77.42
2000,BGD,65.447
2001,BGD,65.956
2002,BGD,66.43
2003,BGD,66.886
2004,BGD,67.331
2005,BGD,67.773
2006,BGD,68.213
2007,BGD,68.648
2008,BGD,69.072
2009,BGD,69.485
2010,BGD,69.881
2011,BGD,70.256
2012,BGD,70.606
2013,BGD,70.93
2014,BGD,71.231
2015,BGD,71.514
2016,BGD,71.785
2017,BGD,72.052
2018,BGD,72.32
2019,BGD,72.591
2020,BGD,72.87
2000,BTN,60.884
2001,BTN,61.808
2002,BTN,62.728
2003,BTN,63.624
2004,BTN,64.483
2005,BTN,65.289
2006,BTN,66.031
2007,BTN,66.709
2008,BTN,67.325
2009,BTN,67.882
2010,BTN,68.384
2011,BTN,68.84
2012,BTN,69.263
2013,BTN,69.662
2014,BTN,70.046
2015,BTN,70.419
2016,BTN,70.781
2017,BTN,71.129
2018,BTN,71.46
2019,BTN,71.777
2020,BTN,72.08
2000,BRN,72.809
2001,BRN,73.076
2002,BRN,73.332
2003,BRN,73.575
2004,BRN,73.801
2005,BRN,74.006
2006,BRN,74.189
2007,BRN,74.351
2008,BRN,74.494
2009,BRN,74.623
2010,BRN,74.74
2011,BRN,74.852
2012,BRN,74.962
2013,BRN,75.075
2014,BRN,75.193
2015,BRN,75.318
2016,BRN,75.45
2017,BRN,75.585
2018,BRN,75.722
2019,BRN,75.86
2020,BRN,76
2000,KHM,58.432
2001,KHM,59.335
2002,KHM,60.283
2003,KHM,61.241
2004,KHM,62.186
2005,KHM,63.088
2006,KHM,63.927
2007,KHM,64.697
2008,KHM,65.394
2009,KHM,66.014
2010,KHM,66.56
2011,KHM,67.043
2012,KHM,67.48
2013,KHM,67.888
2014,KHM,68.273
2015,KHM,68.637
2016,KHM,68.977
2017,KHM,69.289
2018,KHM,69.57
2019,KHM,69.823
2020,KHM,70.05
2000,CHN,71.397
2001,CHN,71.732
2002,CHN,72.061
2003,CHN,72.381
2004,CHN,72.689
2005,CHN,72.985
2006,CHN,73.271
2007,CHN,73.553
2008,CHN,73.835
2009,CHN,74.119
2010,CHN,74.409
2011,CHN,74.708
2012,CHN,75.013
2013,CHN,75.321
2014,CHN,75.629
2015,CHN,75.928
2016,CHN,76.21
2017,CHN,76.47
2018,CHN,76.704
2019,CHN,76.912
2020,CHN,77.1
2000,CYP,78.009
2001,CYP,78.139
2002,CYP,78.264
2003,CYP,78.385
2004,CYP,78.506
2005,CYP,78.63
2006,CYP,78.764
2007,CYP,78.91
2008,CYP,79.071
