Country,Year,Status,Life expectancy,under-five deaths,infant deaths,Adult Mortality,Alcohol,BMI,Polio Orig,Polio,Diptheria,,HIV/AIDS,Total expenditure,GDP,Population,Population Density,,,,
China,2015,Developing,76.1,18,15,85,5.81,32.9,0.1,0.1,0.1,100,0.1,5.78,8692.119,1406847870,146.55,,,,
China,2014,,75.8,19,17,86,5.78,31.9,0.1,0.1,0.1,100,0.1,5.55,7683.524,1399453965,145.78,,,,
China,2013,,75.6,21,18,88,5.79,30.9,0.1,0.1,0.1,100,0.1,5.39,7777.759,1391883330,144.99,,,,
China,2012,,75.4,23,20,89,5.74,30,0.1,0.1,0.12,100,0.1,5.26,6337.883,1384206401,144.19,,,,
China,2011,,75.2,25,21,91,5.63,29,0.12,0.12,0.12,100,0.1,5.3,5633.796,1376497639,143.39,,,,
China,2010,,75,26,23,92,5.75,28.1,0.12,0.12,0.12,100,0.1,4.89,4565.125,1368810615,142.58,,,,
China,2009,,74.9,28,24,93,4.88,27.3,0.12,0.12,0.12,100,0.1,5.8,3838.434,1361169419,141.79,,,,
China,2008,,74.5,30,26,97,4.27,26.5,0.13,0.13,0.12,100,0.1,4.59,3471.248,1353569484,141,,,,
China,2007,,74.4,33,28,96,3.88,25.7,0.13,0.13,0.13,100,0.1,4.32,2695.366,1345993888,140.21,,,,
China,2006,,74.2,36,30,98,3.28,24.9,0.13,0.13,0.13,100,0.1,4.52,2992.297,1338408647,139.42,,,,
China,2005,,73.9,39,33,99,2.92,24.1,0.14,0.14,0.14,100,0.1,4.66,1753.418,1330776380,138.62,,,,
China,2004,,73.5,42,36,113,3.04,23.4,0.14,0.14,0.14,100,0.1,4.72,1586.685,1323084641,137.82,,,,
China,2003,,73.1,46,39,132,2.96,22.6,0.15,0.15,0.16,100,0.1,4.82,1288.643,1315303521,137.01,,,,
China,2002,,72.7,51,42,166,2.91,21.9,0.15,0.15,0.16,100,0.1,4.79,1148.586,1307352257,136.18,,,,
China,2001,,72.2,55,45,114,2.84,21.2,0.16,0.16,0.16,100,0.1,4.56,1531.824,1299129752,135.33,,,POlio,Dip
China,2000,,71.7,60,49,115,3.06,20.5,0.16,0.16,0.17,100,0.1,4.6,959.3722,1290550765,134.43,,,84,87
India,2015,Developing,68.3,48,43,181,3.19,18.7,84,0.16,0.13,100,0.2,4.93,2103.59,1310152403,398.55,,,84,85
India,2014,,68,49,41,184,3.07,18.1,84,0.16,0.15,100,0.2,4.69,2039.13,1295600772,394.13,,,82,83
India,2013,,67.6,51,48,187,3.11,17.5,82,0.18,0.17,100,0.2,4.53,1856.72,1280842125,389.64,,,79,82
India,2012,,67.3,53,46,196,3.1,17,79,0.21,0.18,100,0.2,4.39,1827.64,1265780247,385.06,,,79,82
India,2011,,66.8,57,49,193,3,16.4,79,0.21,0.18,100,0.2,4.33,1823.05,1250287943,380.34,,,76,79
India,2010,,66.4,54,44,196,2.77,15.9,76,0.24,0.21,100,0.2,4.28,1675.62,1234281170,375.47,,,73,74
India,2009,,66,58,41,208,2.5,15.4,73,0.27,0.26,100,0.2,4.38,1341.89,1217726215,370.44,,,69,71
India,2008,,65.5,56,43,235,1.93,14.9,69,0.31,0.29,100,0.3,4.34,1198.9,1200669765,365.25,,,67,64
India,2007,,65.2,59,48,262,1.59,14.4,67,0.33,0.36,100,0.3,4.23,1216.74,1183209472,359.94,,,66,65
India,2006,,64.8,64,46,286,1.37,13.9,66,0.34,0.35,100,0.3,4.25,940.26,1165486291,354.55,,,65,65
India,2005,,64.4,62,49,211,1.27,13.5,65,0.35,0.35,100,0.3,4.28,820.382,1147609927,349.11,,,58,63
India,2004,,64,67,51,214,1.2,13,58,0.42,0.37,100,0.3,4.22,709.149,1129623456,343.64,,,57,61
India,2003,,63.7,64,53,216,1.19,12.6,57,0.43,0.39,100,0.3,4.3,607.699,1111523144,338.13,,,58,59
India,2002,,63.3,68,58,219,1.1,12.2,58,0.42,0.41,100,0.3,4.4,514.938,1093317189,332.59,,,58,59
India,2001,,62.9,72,61,222,1,11.8,58,0.42,0.41,100,0.3,4.5,485.441,1075000085,327.02,,,57,58
India,2000,,62.5,75,63,224,0.93,11.4,57,0.43,0.42,100,0.3,4.26,468.395,1056575549,321.42,,,99,96
Japan,2015,Developed,83.7,3,2,55,7.51,29,99,0.01,0.04,100,0.1,1.32,34474.14,127985133,338.61,,,99,96
Japan,2014,,83.5,3,2,57,7.49,28.6,99,0.01,0.04,100,0.1,1.23,38962.12,128168639,339.1,,,99,96
Japan,2013,,83.5,3,2,56,7.55,28.2,99,0.01,0.04,100,0.1,1.25,44544.47,128314195,339.48,,,99,97
Japan,2012,,83.3,3,2,58,7.39,27.8,99,0.01,0.03,100,0.1,1.17,48634.77,128423571,339.77,,,96,97
Japan,2011,,82.5,4,3,64,7.39,27.4,96,0.04,0.03,100,0.1,1.7,48168,128498965,339.97,,,98,97
Japan,2010,,83,4,3,62,6.9,26.9,98,0.02,0.03,100,0.1,9.58,44576.76,128542353,340.09,,,99,97
Japan,2009,,83,4,3,64,7.09,26.4,99,0.01,0.03,100,0.1,9.51,48551.76,128555189,340.12,,,98,98
Japan,2008,,82.7,4,3,66,7.11,25.9,98,0.02,0.02,100,0.1,8.6,39339.3,128538646,340.08,,,97,98
Japan,2007,,82.6,4,3,67,7.29,25.4,97,0.03,0.02,100,0.1,8.25,35275.23,128494057,339.96,,,95,98
Japan,2006,,82.4,4,3,68,7.49,24.9,95,0.05,0.02,100,0.1,8.19,35433.99,128422734,339.77,,,95,98
Japan,2005,,82,4,3,69,7.99,24.4,95,0.05,0.02,100,0.1,8.18,37217.65,128326116,339.51,,,97,99
Japan,2004,,82.1,4,3,68,7.7,23.8,97,0.03,0.01,100,0.1,8.3,37688.72,128204195,339.19,,,97,97
Japan,2003,,81.9,5,3,72,7.83,23.4,97,0.03,0.03,100,0.1,8,34883.99,128058372,338.81,,,89,96
Japan,2002,,81.8,5,3,76,7.87,22.9,89,0.11,0.04,100,0.1,7.85,32289.36,127893078,338.37,,,81,95
Japan,2001,,81.5,5,4,72,8.03,22.5,81,0.19,0.05,100,0.1,7.75,33846.47,127713828,337.89,,,98,85
Japan,2000,,81.1,5,4,74,7.97,22.2,98,0.02,0.15,100,0.1,7.53,38532.49,127524174,337.39,,,99,99
